[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\urls\__init__.py first seen with mtime 1607232641.1234634
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\markdown\extensions\__init__.py first seen with mtime 1606776321.2699265
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\openid\store\nonce.py first seen with mtime 1606751716.9928403
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1607232639.051993
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\social_django\admin.py first seen with mtime 1606751716.00825
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\struct.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\urllib3\_version.py first seen with mtime 1606751720.0411956
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\posixpath.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\files\move.py first seen with mtime 1607232640.9449265
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\template\response.py first seen with mtime 1607232641.1060033
